Year,ARIMA,XGBoost,LSTM
2022,177640.37430161377,193241.47,56546.71
2023,154780.55693342723,193241.47,16547.434
2024,135930.06728272815,193241.47,4842.5845
2025,124568.06515467013,193241.47,1417.4347
2026,111937.28420486528,193241.47,415.14496
2027,101819.97916338951,193241.47,121.835884
2028,94560.99203877381,193241.47,35.8566
2029,87524.29739051366,193241.47,9.436143
2030,81887.55014512426,193241.47,1.6723136
2031,77497.97240133835,193241.47,0.39439464
2032,73540.7487407671,193241.47,0.2646813
2033,70343.0318380663,193241.47,0.2529031
2034,67757.19364896863,193241.47,0.2518463
2035,65514.928171045874,193241.47,0.2517516
2036,63686.384646716266,193241.47,0.2517431
