LeaseID,TenantID,StartYear,LeaseYear,FloorLevel,SuiteID,SuiteSquareFootage,RentAmount,AnnualRent,Occupied,VacantSpace
1.0,1.0,1990,1990,14,14_1,1665.7538107693197,12.0,19989.05,True,18334.25
1.0,1.0,1990,1991,14,14_1,1665.7538107693197,12.5,20821.92,True,18334.25
1.0,1.0,1990,1992,14,14_1,1665.7538107693197,13.0,21654.8,True,18334.25
1.0,1.0,1990,1993,14,14_1,1665.7538107693197,13.5,22487.68,True,18334.25
1.0,1.0,1990,1994,14,14_1,1665.7538107693197,14.0,23320.55,True,18334.25
1.0,1.0,1990,1995,14,14_1,1665.7538107693197,14.5,24153.43,True,18334.25
1.0,1.0,1990,1996,14,14_1,1665.7538107693197,15.0,24986.31,True,18334.25
2.0,1.0,1990,1990,1,1_2,4521.061097791875,12.0,54252.73,True,15478.94
2.0,1.0,1990,1991,1,1_2,4521.061097791875,12.5,56513.26,True,15478.94
2.0,1.0,1990,1992,1,1_2,4521.061097791875,13.0,58773.79,True,15478.94
2.0,1.0,1990,1993,1,1_2,4521.061097791875,13.5,61034.32,True,15478.94
2.0,1.0,1990,1994,1,1_2,4521.061097791875,14.0,63294.86,True,15478.94
2.0,1.0,1990,1995,1,1_2,4521.061097791875,14.5,65555.39,True,15478.94
2.0,1.0,1990,1996,1,1_2,4521.061097791875,15.0,67815.92,True,15478.94
2.0,1.0,1990,1997,1,1_2,4521.061097791875,15.5,70076.45,True,15478.94
2.0,1.0,1990,1998,1,1_2,4521.061097791875,16.0,72336.98,True,15478.94
2.0,1.0,1990,1999,1,1_2,4521.061097791875,16.5,74597.51,True,15478.94
2.0,1.0,1990,2000,1,1_2,4521.061097791875,17.0,76858.04,True,15478.94
2.0,1.0,1990,2001,1,1_2,4521.061097791875,17.5,79118.57,True,15478.94
2.0,1.0,1990,2002,1,1_2,4521.061097791875,18.0,81379.1,True,15478.94
3.0,1.0,1990,1990,20,20_3,2033.4592000089087,12.0,24401.51,True,17966.54
3.0,1.0,1990,1991,20,20_3,2033.4592000089087,12.5,25418.24,True,17966.54
3.0,1.0,1990,1992,20,20_3,2033.4592000089087,13.0,26434.97,True,17966.54
3.0,1.0,1990,1993,20,20_3,2033.4592000089087,13.5,27451.7,True,17966.54
3.0,1.0,1990,1994,20,20_3,2033.4592000089087,14.0,28468.43,True,17966.54
3.0,1.0,1990,1995,20,20_3,2033.4592000089087,14.5,29485.16,True,17966.54
3.0,1.0,1990,1996,20,20_3,2033.4592000089087,15.0,30501.89,True,17966.54
4.0,2.0,1990,1990,20,20_3,2033.4592000089087,12.0,24401.51,True,17966.54
5.0,2.0,1990,1990,10,10_4,3794.1810843313096,12.0,45530.17,True,16205.82
6.0,2.0,1990,1990,4,4_5,4982.495784422323,12.0,59789.95,True,15017.5
7.0,2.0,1990,1990,4,4_6,1283.8931918482792,12.0,15406.72,True,13733.61
8.0,2.0,1991,1991,9,9_1,2188.4552730976384,12.88,28176.36,True,17811.54
9.0,3.0,1991,1991,9,9_1,2188.4552730976384,12.88,28176.36,True,17811.54
9.0,3.0,1991,1992,9,9_1,2188.4552730976384,13.38,29270.59,True,17811.54
9.0,3.0,1991,1993,9,9_1,2188.4552730976384,13.88,30364.82,True,17811.54
9.0,3.0,1991,1994,9,9_1,2188.4552730976384,14.38,31459.04,True,17811.54
9.0,3.0,1991,1995,9,9_1,2188.4552730976384,14.88,32553.27,True,17811.54
