Year,ARIMA,XGBoost,LSTM
2022,104760.27415539505,134305.88,49569.996
2023,75737.48975367204,134305.88,18296.11
2024,53527.78620691082,134305.88,6753.3096
2025,32442.430691448662,134305.88,2493.0059
2026,13619.205862654264,134305.88,920.5811
2027,-5864.625446312995,134305.88,340.2781
2028,-24733.74791652339,134305.88,126.22463
2029,-41183.94820945281,134305.88,45.135014
2030,-56682.96126035126,134305.88,14.815732
2031,-71435.22796890912,134305.88,3.6164575
2032,-85413.32516071227,134305.88,0.74343973
2033,-98602.14588106795,134305.88,0.33164802
2034,-110790.13396355955,134305.88,0.28429306
2035,-122231.37895324039,134305.88,0.2790289
2036,-133056.66293623418,134305.88,0.27844602
